category,gate,role_name,source_combo,zh_prompt,en_prompt
正式用户画像,,硕士研究生小李,,"硕士研究生男生角色，23岁，实验室工位，年轻东亚研究生，浅色卫衣，黑框眼镜，桌面有论文草稿、便签、电脑和实验记录，本人略疲惫但认真，温和、迷茫、想变得更有条理，科研拟人IP，现代校园科研风，柔和冷色光，半身角色立绘，高细节","23-year-old master's student, East Asian graduate student, in a laboratory workstation, light hoodie, black-rim glasses, thesis drafts, sticky notes, laptop, experiment notes, slightly tired but earnest, gentle and a bit lost, wants structure, academic character IP, modern campus research vibe, soft cool lighting, detailed half-body character illustration"
正式用户画像,,博士研究生小王,,"博士研究生角色，27岁，东亚博士生，多屏工作台，深色外套，电脑上同时打开论文、项目进度、邮件和课程资料，神情冷静但高压，任务线缠绕成可视化光轨，时间碎片化，科研管理者气质，现代科研办公风，冷白灯光，精致角色海报，高细节","27-year-old PhD student, East Asian doctoral researcher, multi-monitor workstation, dark jacket, thesis pages, project timeline, emails, teaching materials opened at once, calm but under pressure, multi-task trails visualized as light paths, fragmented time, research manager aura, modern academic workspace, cool white lighting, polished character poster, high detail"
人格角色,夜型生物门,实验室蝙蝠,,"实验室蝙蝠，夜行科研拟人角色，蝙蝠元素耳饰，深紫与蓝黑配色，实验袍混搭街头夹克，手持发光平板与论文，站在深夜图书馆，神情清醒冷锐，夜型天才，潮流IP角色立绘，高对比霓虹光","Lab Bat, nocturnal research character, bat-inspired accessories, deep purple and blue-black palette, lab coat mixed with street jacket, glowing tablet and papers, midnight library background, sharp awake expression, night-owl genius, stylish IP character art, neon contrast lighting"
人格角色,夜型生物门,猫头鹰研究员,,"猫头鹰研究员，猫头鹰拟人科研角色，夜蓝长外套，羽纹肩饰，圆框眼镜，金色锐利眼睛，手里夹着实验记录和咖啡，背景是深夜实验室，聪明、克制、专注，角色卡插画，高细节","Owl Researcher, owl-inspired academic character, midnight blue coat, feather-pattern shoulder piece, round glasses, golden sharp eyes, holding experiment notes and coffee, late-night lab background, intelligent restrained focused mood, character card illustration, high detail"
人格角色,夜型生物门,深夜幽灵,,"深夜幽灵，安静诡秘的科研拟人，半透明黑灰披风，冷白月光，漂浮的番茄钟与待办标签，消瘦轮廓，空灵但专注，凌晨工作状态，极简背景，神秘高级感角色插画","Midnight Ghost, quiet mysterious academic spirit character, translucent dark cloak, pale moonlight, floating pomodoro timer and task tags, slender silhouette, ethereal but focused, late-night work mode, minimal background, premium mysterious character illustration"
人格角色,晨型生物门,晨鸣鹤,,"晨鸣鹤，清晨科研拟人角色，白鹤意象，白金与朝霞红配色，修长身形，整洁笔记本与水杯，站在日出的图书馆窗边，宁静、自律、早起精英气质，角色海报，高级插画","Dawn Crane, morning academic character, crane motif, white-gold and sunrise red palette, slender figure, tidy notebook and water bottle, standing by a sunrise library window, calm disciplined early-riser aura, premium character poster illustration"
人格角色,晨型生物门,黎明特攻队,,"黎明特攻队，清晨突击型科研角色，黎明橙与深蓝配色，轻战术风外套，肩背电脑包，手腕有能量监测装置，天未亮的校园背景，紧绷、迅速、带一点疲惫，科研潮玩IP","Dawn Raider, early-morning strike researcher character, dawn orange and dark blue palette, light tactical jacket, laptop bag, wrist energy monitor, pre-sunrise campus background, tense fast slightly sleep-deprived, research designer-toy IP"
人格角色,晨型生物门,六点蜜蜂,,"六点蜜蜂，高效率晨型科研角色，蜂巢六边形视觉，黑黄加蜂蜜金配色，短夹克与轻便工具腰包，手机上是清空邮件的提示，精力充沛，动作利落，可爱但高效的IP角色","Six O'Clock Bee, highly efficient morning research character, honeycomb hexagon motifs, black yellow and honey-gold palette, short jacket and utility belt, phone showing inbox zero, energetic and quick, cute but efficient IP character"
人格角色,DDL生物门,DDL炼金术士,,"DDL炼金术士，截止日期驱动型科研法师，沙漏和炼金阵元素，黑金与燃烧橙配色，长袍混搭现代实验服，手中悬浮即将到期的任务卷轴，爆发感极强，史诗感角色立绘","Deadline Alchemist, deadline-driven research mage, hourglass and alchemy circle motifs, black gold and burning orange palette, robe mixed with modern lab wear, floating urgent task scrolls, explosive energy, epic character illustration"
人格角色,DDL生物门,火山爆发型选手,,"火山爆发型选手，压抑后喷发的科研角色，黑曜石与岩浆红配色，衣服表面带熔岩裂纹，背后是喷发光流，表情平静却危险，象征最后时刻的极限产出，动态角色插画","Volcanic Performer, research character that erupts after long silence, obsidian and magma red palette, outfit with molten cracks, eruption glow behind, calm yet dangerous expression, symbolizes last-minute extreme output, dynamic character art"
